"","obsTime","Values","geo","Country"
"489","2012",132.966051220965,"NL","Netherlands"
"490","2013",137.954139368672,"NL","Netherlands"
"491","2014",144.140857653365,"NL","Netherlands"
"492","2015",148.898153662895,"NL","Netherlands"
"493","2016",152.002680166766,"NL","Netherlands"
"494","2017",154.742406194163,"NL","Netherlands"
"495","2018",157.76503871352,"NL","Netherlands"
"496","2019",161.628945800642,"NL","Netherlands"
"497","1994",35.0943889105065,"CZ","Czech Republic"
"498","1995",39.041095890411,"CZ","Czech Republic"
"499","1996",46.9968387776607,"CZ","Czech Republic"
"500","1997",61.5911538461537,"CZ","Czech Republic"
"501","1998",81.4190410958904,"CZ","Czech Republic"
"502","1999",93.133119072708,"CZ","Czech Republic"
"503","2000",100,"CZ","Czech Republic"
"504","2001",106.217070600632,"CZ","Czech Republic"
"505","2002",113.470321390938,"CZ","Czech Republic"
"506","2003",118.124341412013,"CZ","Czech Republic"
"507","2004",120.706006322445,"CZ","Czech Republic"
"508","2005",122.093429926238,"CZ","Czech Republic"
"509","2006",123.375479452055,"CZ","Czech Republic"
"510","2007",131.506854583772,"CZ","Czech Republic"
"511","2008",150.070247629083,"CZ","Czech Republic"
"512","2009",174.798029504742,"CZ","Czech Republic"
"513","2010",189.480147523709,"CZ","Czech Republic"
"514","2011",194.608366701791,"CZ","Czech Republic"
"515","2012",202.968029504742,"CZ","Czech Republic"
"516","2013",207.077623814542,"CZ","Czech Republic"
"517","2014",208.956801896733,"CZ","Czech Republic"
"518","2015",210.748145416227,"CZ","Czech Republic"
"519","2016",213.22444678609,"CZ","Czech Republic"
"520","2017",217.825816649104,"CZ","Czech Republic"
"521","2018",224.288724973656,"CZ","Czech Republic"
"522","2019",232.665964170536,"CZ","Czech Republic"
"523","2000",100,"SI","Slovenia"
"524","2001",111.988927884612,"SI","Slovenia"
"525","2002",122.058029860143,"SI","Slovenia"
"526","2003",138.916473581157,"SI","Slovenia"
"527","2004",155.413950162693,"SI","Slovenia"
"528","2005",163.558819345769,"SI","Slovenia"
"529","2006",168.843842560288,"SI","Slovenia"
"530","2007",173.869557667962,"SI","Slovenia"
"531","2008",183.558535573391,"SI","Slovenia"
"532","2009",182.67304689966,"SI","Slovenia"
"533","2010",180.12262027987,"SI","Slovenia"
"534","2011",179.435994160082,"SI","Slovenia"
"535","2012",176.50983709941,"SI","Slovenia"
"536","2013",174.640131278848,"SI","Slovenia"
"537","2014",173.361235983902,"SI","Slovenia"
"538","2015",176.804563869175,"SI","Slovenia"
"539","2016",179.670306317992,"SI","Slovenia"
"540","2017",189.116122924969,"SI","Slovenia"
"541","2018",200.898740296388,"SI","Slovenia"
"542","2019",209.417872423812,"SI","Slovenia"
"543","1980",23.5406135515297,"SE","Sweden"
"544","1981",26.8645785578943,"SE","Sweden"
"545","1982",30.8839786658897,"SE","Sweden"
"546","1983",33.7812628439507,"SE","Sweden"
"547","1984",36.5579021836344,"SE","Sweden"
"548","1985",39.0655878868155,"SE","Sweden"
"549","1986",40.8421345206104,"SE","Sweden"
"550","1987",43.5250023863946,"SE","Sweden"
"551","1988",46.8689763300244,"SE","Sweden"
"552","1989",50.6153048313655,"SE","Sweden"
"553","1990",57.9362961017156,"SE","Sweden"
"554","1991",73.1277698548292,"SE","Sweden"
"555","1992",79.6285666545544,"SE","Sweden"
"556","1993",86.2864994204764,"SE","Sweden"
"557","1994",89.6136027484941,"SE","Sweden"
"558","1995",92.3990658188781,"SE","Sweden"
"559","1996",95.7587347973255,"SE","Sweden"
"560","1997",98.7882408784296,"SE","Sweden"
"561","1998",99.5358587031631,"SE","Sweden"
"562","1999",99.527815255622,"SE","Sweden"
"563","2000",100,"SE","Sweden"
"564","2001",101.691210467701,"SE","Sweden"
"565","2002",103.862855369567,"SE","Sweden"
"566","2003",106.613796925567,"SE","Sweden"
"567","2004",109.922654689675,"SE","Sweden"
"568","2005",112.579625404273,"SE","Sweden"
"569","2006",113.576971650938,"SE","Sweden"
"570","2007",115.388435096751,"SE","Sweden"
"571","2008",118.305143856887,"SE","Sweden"
"572","2009",122.119931033968,"SE","Sweden"
"573","2010",124.109326538981,"SE","Sweden"
"574","2011",126.989152311032,"SE","Sweden"
"575","2012",130.265245057207,"SE","Sweden"
"576","2013",133.208046898661,"SE","Sweden"
"577","2014",135.493661264919,"SE","Sweden"
"578","2015",137.494826327359,"SE","Sweden"
"579","2016",138.701312522208,"SE","Sweden"
"580","2017",139.811617646265,"SE","Sweden"
"581","2018",141.134042918942,"SE","Sweden"
"582","2019",143.333925821014,"SE","Sweden"
"583","1995",49.8620676948721,"LV","Latvia"
"584","1996",53.6767756865777,"LV","Latvia"
"585","1997",72.3169936260154,"LV","Latvia"
"586","1998",96.3672655267837,"LV","Latvia"
"587","1999",98.051516602286,"LV","Latvia"
"588","2000",100,"LV","Latvia"
"589","2001",102.669786032399,"LV","Latvia"
"590","2002",103.165004122912,"LV","Latvia"
"591","2003",104.943510275668,"LV","Latvia"
"592","2004",112.271892392054,"LV","Latvia"
"593","2005",126.54610187147,"LV","Latvia"
